State,District,Population,Area (in km^2),Latitude,Longitude
Madhya Pradesh,Bhind,1703562,4459,26.55,78.78
Madhya Pradesh,Bhopal,2368145,2772,23.27,77.40
Madhya Pradesh,Burhanpur,756993,3427,21.30,76.22
Madhya Pradesh,Chachaura-Binaganj,0,0,24.17,77.00
Madhya Pradesh,Chhatarpur,1762857,8687,24.90,79.57
Madhya Pradesh,Chhindwara,2090306,11815,22.05,78.93
Madhya Pradesh,Damoh,1263703,7306,21.88,80.78
Madhya Pradesh,Datia,786375,2694,25.67,78.45
Madhya Pradesh,Dewas,1563107,7020,22.95,76.05
Madhya Pradesh,Dhar,2184672,8153,22.60,75.30
Madhya Pradesh,Dindori,704218,7427,22.95,81.08
Madhya Pradesh,Guna,1240938,6485,24.63,77.32
Madhya Pradesh,Gwalior,2030543,5465,26.22,78.17
Madhya Pradesh,Harda,570302,3339,22.33,77.08
Madhya Pradesh,Hoshangabad,1240975,6698,22.67,77.50
Madhya Pradesh,Indore,3272335,3898,22.67,75.75
Madhya Pradesh,Jabalpur,2460714,5210,23.15,79.93
Madhya Pradesh,Jhabua,1024091,6782,22.77,74.60
Madhya Pradesh,Katni,1291684,4947,23.83,80.38
Madhya Pradesh,Khandwa (East Nimar),1309443,7349,0.00,0.00
Madhya Pradesh,Khargone (West Nimar),1872413,8010,0.00,0.00
Madhya Pradesh,Maihar,0,0,24.25,80.75
Madhya Pradesh,Mandla,1053522,5805,22.70,81.00
Madhya Pradesh,Mandsaur,1339832,5530,24.07,75.07
Madhya Pradesh,Morena,1965137,4991,26.50,78.00
Madhya Pradesh,Narsinghpur,1092141,5133,22.92,79.17
Madhya Pradesh,Nagda,0,0,0.00,0.00
Madhya Pradesh,Neemuch,825958,4267,24.47,74.87
Madhya Pradesh,Niwari,0,0,0.00,0.00
Madhya Pradesh,Panna,1016028,7135,24.72,80.17
Madhya Pradesh,Raisen,1331699,8466,23.32,77.78
Madhya Pradesh,Rajgarh,1546541,6143,24.25,74.93
Madhya Pradesh,Ratlam,1454483,4861,23.32,75.03
Madhya Pradesh,Rewa,2363744,6314,24.52,81.28
Madhya Pradesh,Sagar,2378295,10252,23.80,78.67
Madhya Pradesh,Satna,2228619,7502,24.33,80.55
Madhya Pradesh,Sehore,1311008,6578,23.20,77.08
Madhya Pradesh,Seoni,1378876,8758,22.08,79.55
Madhya Pradesh,Shahdol,1064989,6205,23.30,81.35
Madhya Pradesh,Shajapur,1512353,6196,23.50,76.25
Madhya Pradesh,Sheopur,687952,6585,25.67,76.70
Madhya Pradesh,Shivpuri,1725818,10290,24.87,77.18
Madhya Pradesh,Sidhi,1126515,10520,24.42,81.88
Madhya Pradesh,Singrauli,1178132,5672,24.20,82.67
Madhya Pradesh,Tikamgarh,1444920,5055,24.73,78.82
Madhya Pradesh,Ujjain,1986864,6091,23.42,75.50
Madhya Pradesh,Umaria,643579,4062,23.52,80.83
Madhya Pradesh,Vidisha,1458212,7362,23.52,77.80
Maharashtra,Ahmednagar,4543083,17048,19.08,74.72
Maharashtra,Akola,1818617,5429,20.50,77.17
Maharashtra,Amravati,2887826,12235,20.93,77.75
Maharashtra,Aurangabad,3695928,10107,19.88,75.32
Maharashtra,Beed,2585962,10693,18.83,75.75
Maharashtra,Bhandara,1198810,3890,21.18,80.00
Maharashtra,Buldhana,2588039,9661,20.52,76.17
Maharashtra,Chandrapur,2194262,11443,19.95,79.30
Maharashtra,Dhule,2048781,8095,20.90,74.77
Maharashtra,Gadchiroli,1071795,14412,20.18,80.00
Maharashtra,Gondia,1322331,5431,21.45,80.18
Maharashtra,Hingoli,1178973,4526,19.72,77.15
Maharashtra,Jalgaon,4224442,11765,18.65,75.10
Maharashtra,Jalna,1958483,7718,19.83,75.88
Maharashtra,Kolhapur,3874015,7685,16.68,74.22
Maharashtra,Latur,2455543,7157,18.40,76.58
Maharashtra,Mumbai City,3145966,69,18.97,72.82
Maharashtra,Mumbai suburban,9332481,369,19.05,72.83
Maharashtra,Nanded,3356566,10528,19.15,77.32
Maharashtra,Nandurbar,1646177,5055,21.38,74.37
Maharashtra,Nagpur,4653171,9892,21.00,79.00
Maharashtra,Nashik,6109052,15539,19.98,73.78
Maharashtra,Osmanabad,1660311,7569,17.35,75.17
Maharashtra,Palghar,2990116,5344,19.68,72.77
Maharashtra,Parbhani,1835982,6511,19.50,76.75
Maharashtra,Pune,9426959,15643,18.52,73.83
Maharashtra,Raigad,2635394,7152,18.65,72.87
Maharashtra,Ratnagiri,1612672,8208,16.98,73.30
Maharashtra,Sangli,2820575,8572,16.85,74.57
Maharashtra,Satara,3003922,10475,17.70,74.00
Maharashtra,Sindhudurg,848868,5207,16.10,73.68
Maharashtra,Solapur,4315527,14895,17.83,75.50
Maharashtra,Thane,11060148,4214,19.20,72.97
Maharashtra,Wardha,1296157,6309,20.83,78.60
Maharashtra,Washim,1196714,5155,20.10,77.13
Maharashtra,Yavatmal,2775457,13582,20.10,78.20
Manipur,Bishnupur,240363,496,24.63,93.77
Manipur,Chandel,144028,3317,24.32,93.98
Manipur,Churachandpur,271274,4574,24.33,93.68
Manipur,Imphal East,452661,710,24.80,93.95
Manipur,Imphal West,514683,519,24.82,93.90
Manipur,Jiribam,43818,232,24.80,93.12
Manipur,Kakching,135481,0,24.48,93.98
Manipur,Kamjong,45616,2000,24.85,94.50
Manipur,Kangpokpi,0,0,25.13,93.97
Manipur,Noney,0,0,0.00,0.00
Manipur,Pherzawl,47250,2285,0.00,0.00
Manipur,Senapati,354772,3269,0.00,0.00
Manipur,Tamenglong,140143,4391,24.98,93.48
Manipur,Tengnoupal,0,0,24.32,93.98
Manipur,Thoubal,420517,514,24.65,93.98
Manipur,Ukhrul,183115,4547,25.12,94.37
Meghalaya,East Garo Hills,317618,2603,25.48,90.62
Meghalaya,East Khasi Hills,824059,2752,25.57,91.88
Meghalaya,East Jaintia Hills,122436,2115,0.00,0.00
Meghalaya,North Garo Hills,118325,1113,25.88,90.58
Meghalaya,Ri Bhoi,258380,2378,25.90,91.88
Meghalaya,South Garo Hills,142574,1850,25.20,90.63
Meghalaya,South West Garo Hills,172495,822,0.00,0.00
Meghalaya,South West Khasi Hills,110152,1341,0.00,0.00
Meghalaya,West Jaintia Hills,270352,1693,25.45,92.20
Meghalaya,West Garo Hills,642923,3714,25.52,90.22
Meghalaya,West Khasi Hills,385601,5247,25.52,91.27
Mizoram,Aizawl,404054,3577,23.73,92.72
Mizoram,Champhai,125370,3168,23.47,93.32
Mizoram,Hnahthial,-,-,22.90,92.75
Mizoram,Khawzawl,-,-,23.53,93.17
Mizoram,Kolasib,83054,1386,24.22,92.67
Mizoram,Lawngtlai,117444,2519,22.52,92.90
Mizoram,Lunglei,154094,4572,22.90,92.75
Mizoram,Mamit,85757,2967,23.92,92.48
Mizoram,Saiha,56366,1414,22.48,92.97
Mizoram,Saitual,-,-,23.68,92.95
Mizoram,Serchhip,64875,1424,23.30,92.85
Nagaland,Dimapur,379769,926,25.80,93.78
Nagaland,Kiphire,74033,1255,25.90,94.78
Nagaland,Kohima,270063,1041,25.67,94.12
Nagaland,Longleng,50593,885,26.52,94.93
Nagaland,Mokokchung,193171,1615,26.32,94.52
Nagaland,Mon,259604,1786,26.72,95.03
Nagaland,Noklak,59300,1152,26.22,94.98
Nagaland,Peren,163294,2300,25.52,93.73
Nagaland,Phek,163294,2026,25.67,94.47
Nagaland,Tuensang,414801,4228,26.23,94.82
Nagaland,Wokha,166239,1628,26.10,94.27
Nagaland,Zunheboto,141014,1255,26.02,94.52
Odisha,Angul,1271703,6347,20.82,85.10
Odisha,Boudh (Bauda),439917,4289,0.00,0.00
Odisha,Bhadrak,1506522,2788,21.07,86.50
Odisha,Balangir,1648574,6552,20.70,83.50
Odisha,Bargarh (Baragarh),1478833,5832,0.00,0.00
Odisha,Balasore,2317419,3706,21.50,86.90
Odisha,Cuttack,2618708,3915,20.45,85.82
Odisha,Debagarh (Deogarh),312164,2781,0.00,0.00
Odisha,Dhenkanal,1192948,4597,20.65,85.60
Odisha,Ganjam,3520151,8033,19.37,85.05
Odisha,Gajapati,575880,3056,18.88,84.20
Odisha,Jharsuguda,579499,2202,21.85,84.00
Odisha,Jajpur,1826275,2885,20.85,86.32
Odisha,Jagatsinghpur,1136604,1759,20.25,86.15
Odisha,Khordha,2246341,2888,20.15,85.65
Odisha,Kendujhar (Keonjhar),1802777,8336,0.00,0.00
Odisha,Kalahandi,1573054,8197,20.07,83.20
Odisha,Kandhamal,731952,6004,20.47,84.23
Odisha,Koraput,1376934,8534,18.80,82.70
Odisha,Kendrapara,1439891,2546,20.52,86.47
Odisha,Malkangiri,612727,6115,18.25,82.13
Odisha,Mayurbhanj,2513895,10418,21.92,86.72
Odisha,Nabarangpur,1218762,5135,19.23,82.55
Odisha,Nuapada,606490,3408,20.65,82.82
Odisha,Nayagarh,962215,3954,20.10,85.00
Odisha,Puri,1697983,3055,19.80,85.82
Odisha,Rayagada,961959,7585,19.15,83.40
Odisha,Sambalpur,1044410,6702,21.45,83.97
Odisha,Subarnapur (Sonepur),652107,2284,0.00,0.00
Odisha,Sundargarh,2080664,9942,22.10,84.00
Punjab,Amritsar,2490891,2673,31.58,74.98
Punjab,Barnala,596294,1423,30.37,75.53
Punjab,Bathinda,1388859,3355,30.20,74.93
Punjab,Firozpur,2026831,5334,30.93,74.62
Punjab,Faridkot,618008,1472,30.67,74.75
Punjab,Fatehgarh Sahib,599814,1180,30.38,76.23
Punjab,Fazilka,1180483,3113,30.40,74.02
Punjab,Gurdaspur,2299026,3542,31.92,75.25
Punjab,Hoshiarpur,1582793,3397,31.58,75.98
Punjab,Jalandhar,2181753,2625,31.32,75.57
Punjab,Kapurthala,817668,1646,31.37,75.38
Punjab,Ludhiana,3487882,3744,30.88,75.85
Punjab,Mansa,768808,2174,0.00,0.00
Punjab,Moga,992289,2235,30.82,75.17
Punjab,Sri Muktsar Sahib,902702,2596,30.47,74.50
Punjab,Pathankot,626154,929,32.27,75.63
Punjab,Patiala,2892282,3175,30.33,76.38
Punjab,Rupnagar,683349,1400,30.97,76.52
Punjab,Sahibzada Ajit Singh Nagar,986147,1188,30.68,76.72
Punjab,Sangrur,1654408,3685,30.23,75.83
Punjab,Shahid Bhagat Singh Nagar,614362,1283,31.12,76.10
Punjab,Tarn Taran,1120070,2414,31.45,74.92
Rajasthan,Ajmer,2584913,8481,26.45,74.63
Rajasthan,Alwar,3671999,8380,27.57,76.60
Rajasthan,Bikaner,2367745,27244,28.02,73.30
Rajasthan,Barmer,2604453,28387,25.75,71.38
Rajasthan,Banswara,1798194,5037,27.20,74.00
Rajasthan,Bharatpur,2549121,5066,27.22,77.50
Rajasthan,Baran,1223921,6955,25.10,76.52
Rajasthan,Bundi,1113725,5550,25.43,75.63
Rajasthan,Bhilwara,2410459,10455,25.35,74.63
Rajasthan,Churu,2041172,16830,28.28,74.95
Rajasthan,Chittorgarh,1544392,10856,24.87,74.62
Rajasthan,Dausa,1637226,3429,26.53,76.18
Rajasthan,Dholpur,1207293,3084,26.70,77.90
Rajasthan,Dungarpur,1388906,3771,23.83,73.72
Rajasthan,Ganganagar,1969520,10990,29.92,73.87
Rajasthan,Hanumangarh,1779650,9670,29.57,74.32
Rajasthan,Jhunjhunu,2139658,5928,75.02,76.07
Rajasthan,Jalore,1830151,10640,25.35,72.62
Rajasthan,Jodhpur,3685681,22850,27.62,72.92
Rajasthan,Jaipur,6663971,11152,26.92,75.82
Rajasthan,Jaisalmer,672008,38401,26.90,70.90
Rajasthan,Jhalawar,1411327,6219,24.60,76.15
Rajasthan,Karauli,1458459,5530,26.50,77.02
Rajasthan,Kota,1950491,5446,25.17,73.82
Rajasthan,Nagaur,3309234,17718,27.20,73.73
Rajasthan,Pali,2038533,12387,25.77,73.32
Rajasthan,Pratapgarh,868231,4112,0.00,0.00
Rajasthan,Rajsamand,1158283,3853,25.07,73.87
Rajasthan,Sikar,2677737,7732,27.22,74.43
Rajasthan,Sawai Madhopur,1338114,4500,26.00,76.35
Rajasthan,Sirohi,1037185,5136,24.88,72.85
Rajasthan,Tonk,1421711,7194,26.15,75.78
Rajasthan,Udaipur,3067549,13430,24.38,73.62
Sikkim,East Sikkim,281293,954,27.32,88.60
Sikkim,North Sikkim,43354,4226,27.52,88.53
Sikkim,South Sikkim,146742,750,27.17,88.37
